mode,E_thresh,RV_thresh,fragile_rate,recall,fragile_rej,retention
E+RV,1.0,0.01,0.4025,0.9988,0.0045,0.9969
E+RV,1.0,0.05,0.3971,0.9964,0.0357,0.9775
E+RV,1.0,0.1,0.3886,0.9924,0.0793,0.9528
E+RV,1.0,0.15,0.3803,0.9893,0.1158,0.9312
E+RV,1.0,0.2,0.37,0.9859,0.1654,0.9038
E+RV,1.0,0.3,0.3453,0.9763,0.2642,0.8469
E+RV,1.0,0.5,0.2874,0.939,0.4747,0.7175
E+RV,1.5,0.01,0.3347,0.9628,0.3125,0.8131
E+RV,1.5,0.05,0.3347,0.9628,0.3125,0.8131
E+RV,1.5,0.1,0.3347,0.9628,0.3125,0.8131
E+RV,1.5,0.15,0.3347,0.9628,0.3125,0.8131
E+RV,1.5,0.2,0.3347,0.9628,0.3125,0.8131
E+RV,1.5,0.3,0.3344,0.9628,0.3131,0.8128
E+RV,1.5,0.5,0.2874,0.939,0.4747,0.7175
E+RV,2.0,0.01,0.2207,0.8488,0.6725,0.5712
E+RV,2.0,0.05,0.2207,0.8488,0.6725,0.5712
E+RV,2.0,0.1,0.2207,0.8488,0.6725,0.5712
E+RV,2.0,0.15,0.2207,0.8488,0.6725,0.5712
E+RV,2.0,0.2,0.2207,0.8488,0.6725,0.5712
E+RV,2.0,0.3,0.2207,0.8488,0.6725,0.5712
E+RV,2.0,0.5,0.2207,0.8488,0.6725,0.5712
E+RV,2.5,0.01,0.1339,0.6767,0.8731,0.3866
E+RV,2.5,0.05,0.1339,0.6767,0.8731,0.3866
E+RV,2.5,0.1,0.1339,0.6767,0.8731,0.3866
E+RV,2.5,0.15,0.1339,0.6767,0.8731,0.3866
E+RV,2.5,0.2,0.1339,0.6767,0.8731,0.3866
E+RV,2.5,0.3,0.1339,0.6767,0.8731,0.3866
E+RV,2.5,0.5,0.1339,0.6767,0.8731,0.3866
E+RV,3.0,0.01,0.0597,0.4853,0.9651,0.2487
E+RV,3.0,0.05,0.0597,0.4853,0.9651,0.2487
E+RV,3.0,0.1,0.0597,0.4853,0.9651,0.2487
E+RV,3.0,0.15,0.0597,0.4853,0.9651,0.2487
E+RV,3.0,0.2,0.0597,0.4853,0.9651,0.2487
E+RV,3.0,0.3,0.0597,0.4853,0.9651,0.2487
E+RV,3.0,0.5,0.0597,0.4853,0.9651,0.2487
E+RV,4.0,0.01,0.0131,0.1423,0.9961,0.0697
E+RV,4.0,0.05,0.0131,0.1423,0.9961,0.0697
E+RV,4.0,0.1,0.0131,0.1423,0.9961,0.0697
E+RV,4.0,0.15,0.0131,0.1423,0.9961,0.0697
E+RV,4.0,0.2,0.0131,0.1423,0.9961,0.0697
E+RV,4.0,0.3,0.0131,0.1423,0.9961,0.0697
E+RV,4.0,0.5,0.0131,0.1423,0.9961,0.0697
E+RV,5.0,0.01,0.0,0.0189,0.9994,0.0091
E+RV,5.0,0.05,0.0,0.0189,0.9994,0.0091
E+RV,5.0,0.1,0.0,0.0189,0.9994,0.0091
E+RV,5.0,0.15,0.0,0.0189,0.9994,0.0091
E+RV,5.0,0.2,0.0,0.0189,0.9994,0.0091
E+RV,5.0,0.3,0.0,0.0189,0.9994,0.0091
E+RV,5.0,0.5,0.0,0.0189,0.9994,0.0091
E_only,1.0,0.0,0.4029,1.0,0.0,1.0
E_only,1.5,0.0,0.3347,0.9628,0.3125,0.8131
E_only,2.0,0.0,0.2207,0.8488,0.6725,0.5712
E_only,2.5,0.0,0.1339,0.6767,0.8731,0.3866
E_only,3.0,0.0,0.0597,0.4853,0.9651,0.2487
E_only,4.0,0.0,0.0131,0.1423,0.9961,0.0697
E_only,5.0,0.0,0.0,0.0189,0.9994,0.0091
RV_only,0.0,0.01,0.4025,0.9988,0.0045,0.9969
RV_only,0.0,0.05,0.3971,0.9964,0.0357,0.9775
RV_only,0.0,0.1,0.3886,0.9924,0.0793,0.9528
RV_only,0.0,0.15,0.3803,0.9893,0.1158,0.9312
RV_only,0.0,0.2,0.37,0.9859,0.1654,0.9038
RV_only,0.0,0.3,0.3453,0.9763,0.2642,0.8469
RV_only,0.0,0.5,0.2874,0.939,0.4747,0.7175
none,0.0,0.0,0.4029,1.0,0.0,1.0
