h_rate,controller,seed,cum_tracking_error,auc_V,frac_in_tube,recovery_lag
0.0,no_damping,42,253100140159.38525,253100140159385.25,0.0,1000
0.0,no_damping,43,286227806370.4408,286227806370440.8,0.0,1000
0.0,no_damping,44,415439123309.50024,415439123309500.25,0.0,1000
0.0,cosine,42,157683446686.10272,157683446686102.72,0.475,525
0.0,cosine,43,160664855237.8377,160664855237837.72,0.474,526
0.0,cosine,44,166233721968.24628,166233721968246.28,0.475,525
0.0,grad_clip,42,0.25983867623402285,259.83867623402284,0.995,50
0.0,grad_clip,43,0.24347139828520817,243.47139828520818,0.995,50
0.0,grad_clip,44,0.23130201348694593,231.30201348694592,0.995,50
0.0,adaptive,42,2.1105607253181313,2110.5607253181315,0.934,50
0.0,adaptive,43,2.0836303095446094,2083.630309544609,0.934,50
0.0,adaptive,44,2.087960594086246,2087.9605940862457,0.931,50
0.1,no_damping,42,251824344673.348,251824344673348.0,0.0,1000
0.1,no_damping,43,285316803832.8643,285316803832864.3,0.0,1000
0.1,no_damping,44,418227210087.9927,418227210087992.7,0.0,1000
0.1,cosine,42,157595495239.3529,157595495239352.9,0.457,526
0.1,cosine,43,160642055762.0779,160642055762077.9,0.466,526
0.1,cosine,44,165592909165.16913,165592909165169.12,0.459,526
0.1,grad_clip,42,0.30125275113024763,301.25275113024765,0.995,50
0.1,grad_clip,43,0.2923265643363172,292.32656433631723,0.995,50
0.1,grad_clip,44,0.286598517300216,286.59851730021603,0.995,50
0.1,adaptive,42,2.89180642719124,2891.80642719124,0.886,50
0.1,adaptive,43,2.81957973498472,2819.57973498472,0.892,50
0.1,adaptive,44,2.9741713132784415,2974.1713132784416,0.87,52
0.3,no_damping,42,313809325641.74316,313809325641743.2,0.0,1000
0.3,no_damping,43,246072587659.56656,246072587659566.56,0.0,1000
0.3,no_damping,44,263948052820.97324,263948052820973.25,0.0,1000
0.3,cosine,42,165170647315.70374,165170647315703.75,0.436,526
0.3,cosine,43,158488002664.2673,158488002664267.3,0.44,525
0.3,cosine,44,158243857961.82373,158243857961823.72,0.442,525
0.3,grad_clip,42,0.48057984984190055,480.57984984190057,0.995,50
0.3,grad_clip,43,0.39899586632556433,398.99586632556435,0.995,50
0.3,grad_clip,44,0.4109055686083892,410.9055686083892,0.996,50
0.3,adaptive,42,3.6246128233203208,3624.612823320321,0.791,50
0.3,adaptive,43,3.3189591812633346,3318.9591812633344,0.836,50
0.3,adaptive,44,3.058580944273836,3058.580944273836,0.835,50
0.5,no_damping,42,308806247857.00055,308806247857000.56,0.0,1000
0.5,no_damping,43,243973047561.37833,243973047561378.3,0.0,1000
0.5,no_damping,44,466104732229.7219,466104732229721.94,0.0,1000
0.5,cosine,42,163775984067.06628,163775984067066.28,0.399,527
0.5,cosine,43,158397926535.5167,158397926535516.7,0.403,526
0.5,cosine,44,164930761703.44836,164930761703448.38,0.41,525
0.5,grad_clip,42,0.6126974747829674,612.6974747829674,0.994,50
0.5,grad_clip,43,0.5875352286024398,587.5352286024398,0.995,50
0.5,grad_clip,44,0.5963779537939181,596.3779537939181,0.995,50
0.5,adaptive,42,3.3170773956494446,3317.0773956494445,0.799,50
0.5,adaptive,43,3.6246411330098374,3624.641133009837,0.785,50
0.5,adaptive,44,3.332434681916402,3332.434681916402,0.808,50
