h_rate,controller,cum_error,frac_tube,recovery
0.0,adaptive,2.0941,0.933,50.0
0.0,cosine,161527341297.3956,0.4747,525.3333
0.0,grad_clip,0.2449,0.995,50.0
0.0,no_damping,318255689946.4421,0.0,1000.0
0.1,adaptive,2.8952,0.8827,50.6667
0.1,cosine,161276820055.5333,0.4607,526.0
0.1,grad_clip,0.2934,0.995,50.0
0.1,no_damping,318456119531.4016,0.0,1000.0
0.3,adaptive,3.3341,0.8207,50.0
0.3,cosine,160634169313.9316,0.4393,525.3333
0.3,grad_clip,0.4302,0.9953,50.0
0.3,no_damping,274609988707.4276,0.0,1000.0
0.5,adaptive,3.4247,0.7973,50.0
0.5,cosine,162368224102.0105,0.404,526.0
0.5,grad_clip,0.5989,0.9947,50.0
0.5,no_damping,339628009216.0336,0.0,1000.0
