h_rate,controller,final_V,cum_V,viol,pearson,bg
0.0,B1_fixed,0.0692,0.1029,0.4945,0.03,0.3107
0.0,B2_cosine,0.0023,0.0734,0.4919,0.017,0.2376
0.0,B3_gradclip,0.0692,0.1538,0.4921,0.0023,0.3151
0.0,C3_oracle,59.8808,50.1121,0.5022,0.3626,0.0911
0.0,C3_proxy,1.8783,2.0992,0.3447,0.9275,0.3
0.1,B1_fixed,0.3074,0.8311,0.3949,0.7495,0.3541
0.1,B2_cosine,0.0387,0.5055,0.3596,0.691,0.3815
0.1,B3_gradclip,0.1235,0.2183,0.4679,0.1607,0.3348
0.1,C3_oracle,324.4286,191.7358,0.4997,0.3916,0.1926
0.1,C3_proxy,2.2467,2.783,0.2073,0.8243,0.5772
0.3,B1_fixed,2.7147,2.3538,0.356,0.7428,0.3705
0.3,B2_cosine,0.098,1.4128,0.3227,0.7161,0.4745
0.3,B3_gradclip,0.3951,0.3743,0.4529,0.2546,0.3586
0.3,C3_oracle,848.3847,427.4147,0.5033,0.4473,0.2668
0.3,C3_proxy,3.9051,3.128,0.2427,0.7802,0.6451
0.5,B1_fixed,5.1271,3.7754,0.4033,0.72,0.3481
0.5,B2_cosine,0.1528,2.2431,0.3804,0.7014,0.4422
0.5,B3_gradclip,0.6773,0.5771,0.469,0.3212,0.3431
0.5,C3_oracle,1017.8806,577.2388,0.5071,0.4954,0.3051
0.5,C3_proxy,3.6204,3.2465,0.328,0.7058,0.5533
